time,datetime,mid_diff,mid_price,state
3.364486181002576,2012-06-21 09:46:05.948977122,-0.01,-0.01500000000001478,0
3.3646251969985315,2012-06-21 09:46:05.949116138,-0.01,-0.020000000000010232,0
3.9568525700015016,2012-06-21 09:46:06.541343511,0.01,-0.01500000000001478,1
3.957026935000613,2012-06-21 09:46:06.541517876,0.01,-0.0049999999999954525,1
3.9575930749997497,2012-06-21 09:46:06.542084016,-0.01,-0.01500000000001478,0
20.49209063899616,2012-06-21 09:46:23.076581580,0.01,-0.009999999999990905,1
21.47771242899762,2012-06-21 09:46:24.062203370,0.01,0.014999999999986358,1
23.72481593900011,2012-06-21 09:46:26.309306880,0.01,0.025000000000005684,1
23.94786715599912,2012-06-21 09:46:26.532358097,0.01,0.05500000000000682,1
24.802540814001986,2012-06-21 09:46:27.387031755,-0.01,0.025000000000005684,0
24.802647520999017,2012-06-21 09:46:27.387138462,0.01,0.04999999999998295,1
24.804146319998836,2012-06-21 09:46:27.388637261,-0.01,0.025000000000005684,0
24.804249699001957,2012-06-21 09:46:27.388740640,0.01,0.044999999999987494,1
24.805413866997696,2012-06-21 09:46:27.389904808,-0.01,0.025000000000005684,0
24.805507564997242,2012-06-21 09:46:27.389998506,0.01,0.044999999999987494,1
24.80759809799929,2012-06-21 09:46:27.392089039,-0.01,0.025000000000005684,0
24.807722079996893,2012-06-21 09:46:27.392213021,0.01,0.03999999999999204,1
24.81081979499868,2012-06-21 09:46:27.395310736,-0.01,0.025000000000005684,0
24.810911840999324,2012-06-21 09:46:27.395402782,0.01,0.044999999999987494,1
24.818561610998586,2012-06-21 09:46:27.403052552,-0.01,0.025000000000005684,0
24.818650765999337,2012-06-21 09:46:27.403141707,0.01,0.03999999999999204,1
24.831904384001973,2012-06-21 09:46:27.416395325,-0.01,0.025000000000005684,0
24.831996412998706,2012-06-21 09:46:27.416487354,0.01,0.044999999999987494,1
27.57049369499873,2012-06-21 09:46:30.154984636,-0.01,0.025000000000005684,0
27.570594782002445,2012-06-21 09:46:30.155085723,0.01,0.044999999999987494,1
27.58386735500244,2012-06-21 09:46:30.168358296,-0.01,0.025000000000005684,0
27.583952175999002,2012-06-21 09:46:30.168443117,0.01,0.04999999999998295,1
27.58464031499898,2012-06-21 09:46:30.169131256,-0.01,0.025000000000005684,0
27.584735325996007,2012-06-21 09:46:30.169226267,0.01,0.04999999999998295,1
27.584963410001365,2012-06-21 09:46:30.169454351,-0.01,0.025000000000005684,0
27.58504795099725,2012-06-21 09:46:30.169538892,0.01,0.044999999999987494,1
27.585147742996924,2012-06-21 09:46:30.169638684,-0.01,0.025000000000005684,0
27.58523633999721,2012-06-21 09:46:30.169727281,0.01,0.04999999999998295,1
27.693568395996408,2012-06-21 09:46:30.278059337,-0.01,0.025000000000005684,0
31.483627123998303,2012-06-21 09:46:34.068118065,-0.01,0.01999999999998181,0
31.522282236997853,2012-06-21 09:46:34.106773178,-0.01,0.014999999999986358,0
40.009431077000045,2012-06-21 09:46:42.593922018,0.01,0.01999999999998181,1
41.051714676999836,2012-06-21 09:46:43.636205618,0.01,0.04999999999998295,1
42.06536875900201,2012-06-21 09:46:44.649859700,-0.01,0.01999999999998181,0
42.06840470399766,2012-06-21 09:46:44.652895645,0.01,0.044999999999987494,1
42.211906990996795,2012-06-21 09:46:44.796397932,-0.01,0.01999999999998181,0
42.96366662299988,2012-06-21 09:46:45.548157564,0.01,0.044999999999987494,1
43.021235923995846,2012-06-21 09:46:45.605726865,-0.01,0.01999999999998181,0
43.17280795099941,2012-06-21 09:46:45.757298892,0.01,0.04999999999998295,1
44.081431368002086,2012-06-21 09:46:46.665922309,-0.01,0.01999999999998181,0
44.85776417799934,2012-06-21 09:46:47.442255119,0.01,0.07499999999998863,1
45.345476383998175,2012-06-21 09:46:47.929967325,-0.01,0.01999999999998181,0
45.42771533600171,2012-06-21 09:46:48.012206277,0.01,0.025000000000005684,1
46.10102707400074,2012-06-21 09:46:48.685518015,0.01,0.09000000000000341,1
46.43344366399833,2012-06-21 09:46:49.017934605,-0.01,0.025000000000005684,0
47.00226022100105,2012-06-21 09:46:49.586751162,0.01,0.05500000000000682,1
48.03058371099905,2012-06-21 09:46:50.615074652,-0.01,0.04999999999998295,0
48.702679704998445,2012-06-21 09:46:51.287170646,0.01,0.05500000000000682,1
54.133229498998844,2012-06-21 09:46:56.717720440,0.01,0.07499999999998863,1
63.057568295997044,2012-06-21 09:47:05.642059237,-0.01,0.04999999999998295,0
71.64430964699568,2012-06-21 09:47:14.228800588,-0.01,0.0049999999999954525,0
71.64445433599758,2012-06-21 09:47:14.228945277,-0.01,0.0,0
71.65375581599801,2012-06-21 09:47:14.238246757,-0.01,-0.030000000000001137,0
71.65394109699992,2012-06-21 09:47:14.238432038,0.01,0.0,1
73.31176598899765,2012-06-21 09:47:15.896256930,0.01,0.0049999999999954525,1
73.31185515700054,2012-06-21 09:47:15.896346098,0.01,0.009999999999990905,1
73.31196499100042,2012-06-21 09:47:15.896455932,0.01,0.04999999999998295,1
73.76661360399885,2012-06-21 09:47:16.351104545,0.01,0.06999999999999318,1
75.54070113600028,2012-06-21 09:47:18.125192077,0.01,0.07499999999998863,1
77.22205889399629,2012-06-21 09:47:19.806549835,-0.01,0.06999999999999318,0
77.2507768669966,2012-06-21 09:47:19.835267808,0.01,0.07499999999998863,1
77.25674442700256,2012-06-21 09:47:19.841235368,-0.01,0.06499999999999773,0
78.30972452699643,2012-06-21 09:47:20.894215468,0.01,0.07499999999998863,1
